Customer Name,Invoice Date ,Credit Terms,Actual Delay over and above Agreed Credit Terms,Invoice Currency,Invoice Amount
5,2023-10-31,60,19.0,USD,72072.0
5,2023-10-31,60,19.0,USD,53873.33
5,2023-10-31,60,30.0,USD,6303.45
5,2023-10-31,60,30.0,USD,24401.7
5,2023-10-31,60,13.0,USD,6216.0
5,2023-10-31,60,19.0,USD,84000.0
5,2023-12-13,60,,USD,585.0
5,2023-12-13,60,,USD,332.0
5,2023-12-13,60,,USD,694.0
5,2023-12-13,60,,USD,2095.0
5,2023-12-25,60,,USD,90000.0
5,2023-12-26,60,,USD,9472.0
5,2023-12-27,60,,USD,9504.0
5,2023-12-27,60,,USD,16128.0
5,2023-12-27,60,,USD,48032.0
5,2023-12-27,60,,USD,29752.8
5,2023-12-27,60,,USD,12760.0
5,2023-12-31,60,,USD,107919.68
5,2023-12-31,60,,USD,32492.0
5,2023-12-31,60,,USD,5300.0
5,2023-12-31,60,,USD,454756.72
5,2023-12-31,60,,USD,63530.88
5,2023-12-31,60,,USD,39600.0
5,2023-12-31,60,,USD,8400.0
5,2023-12-31,60,,USD,90000.0
5,2023-12-27,60,,USD,14080.0
5,2023-12-27,60,,USD,17489.92
5,2023-12-31,60,,USD,35504.0
5,2023-12-31,60,,USD,18944.0
5,2023-12-31,60,,USD,8120.0
5,2023-12-31,60,,USD,21100.0
5,2023-12-31,60,,USD,26206.0
5,2023-12-31,60,,USD,120608.0
5,2023-12-31,60,,USD,28160.0
5,2023-12-31,60,,USD,14080.0
5,2023-12-31,60,,USD,27280.0
5,2023-12-31,60,,USD,42927.36
5,2023-12-31,60,,USD,17400.0
5,2023-12-27,60,,USD,44928.0
5,2023-12-27,60,,USD,33873.92
5,2023-12-31,60,,USD,152924.0
5,2023-12-31,60,,USD,72072.0
5,2023-12-31,60,,USD,39160.0
5,2023-12-31,60,,USD,41716.64
5,2023-12-31,60,,USD,42728.0
5,2023-12-31,60,,USD,17008.0
5,2023-12-31,60,,USD,77028.64
5,2023-12-31,60,,USD,69840.0
5,2023-12-31,60,,USD,21272.0
5,2023-12-31,60,,USD,39940.0
5,2023-12-31,60,-59.0,USD,63400.0
5,2023-12-31,60,,USD,70144.0
5,2023-12-31,60,,USD,30516.0
5,2023-12-31,60,,USD,31554.0
5,2023-12-31,60,,USD,118486.8
5,2023-12-31,60,,USD,8400.0
5,2023-12-31,60,,USD,100768.0
5,2023-12-31,60,,USD,9440.0
5,2023-12-31,60,,USD,72378.0
5,2023-12-31,60,,USD,1222.0
5,2023-12-31,60,-31.0,USD,42312.0
5,2023-12-31,60,,USD,9486.0
5,2023-12-31,60,,USD,22156.0
5,2023-12-31,60,,USD,5885.0
5,2023-12-31,60,,USD,72929.92
5,2023-12-31,60,,USD,242760.0
5,2023-12-31,60,,USD,12350.4
5,2023-12-31,60,,USD,246688.28
5,2023-12-31,60,,USD,250128.0
5,2023-12-31,60,,USD,271780.0
5,2023-12-31,60,,USD,26785.0
5,2023-12-31,60,,USD,114880.0
5,2023-12-31,60,,USD,748.0
5,2023-12-31,60,,USD,16224.0
5,2023-12-31,60,,USD,6573.6
5,2023-12-31,60,,USD,250461.0
5,2023-12-31,60,-59.0,USD,-63400.0
5,2023-12-31,60,,USD,62600.0
5,2023-12-31,60,,USD,131572.0
5,2023-12-31,60,,USD,139160.0
5,2024-01-23,60,-54.0,USD,-42312.0
5,2024-01-24,60,,USD,37776.0
5,2024-01-31,60,,USD,4072151.0
6,2023-12-31,30,-1.0,USD,35523.54
